drug,year,age,gender,geography,prevalens pr 1000,ddd
Antidepressiva,2013,10,F,Helseregion Nord-Norge,1.770,5852.273
Antidepressiva,2013,10,F,Helseregion Sør-Øst,1.738,40929.230
Antidepressiva,2013,10,F,Helseregion Vest,1.973,15103.297
Antidepressiva,2013,10,M,Hele landet,2.045,112845.312
Antidepressiva,2013,10,M,Helseregion Midt-Norge,2.220,16280
Antidepressiva,2013,10,M,Helseregion Nord-Norge,1.419,7421
Antidepressiva,2013,10,M,Helseregion Sør-Øst,2.021,62536.016
Antidepressiva,2013,10,M,Helseregion Vest,2.259,26608.303
Antidepressiva,2013,15,F,Hele landet,25.820,1062263.875
Antidepressiva,2013,15,F,Helseregion Midt-Norge,26.160,150444.250
Antidepressiva,2013,15,F,Helseregion Nord-Norge,27.055,94573.445
Antidepressiva,2013,15,F,Helseregion Sør-Øst,24.601,543633.688
Antidepressiva,2013,15,F,Helseregion Vest,28.007,273612.469
Antidepressiva,2013,15,M,Hele landet,11.005,508080.688
Antidepressiva,2013,15,M,Helseregion Midt-Norge,10.345,64960.535
Antidepressiva,2013,15,M,Helseregion Nord-Norge,9.570,40236.094
Antidepressiva,2013,15,M,Helseregion Sør-Øst,10.571,264255.812
Antidepressiva,2013,15,M,Helseregion Vest,13.154,138628.250
Antidepressiva,2013,20,F,Hele landet,50.774,2283540
Antidepressiva,2013,20,F,Helseregion Midt-Norge,48.299,313442.844
Antidepressiva,2013,20,F,Helseregion Nord-Norge,55.058,240195.328
Antidepressiva,2013,20,F,Helseregion Sør-Øst,50.217,1205922.125
Antidepressiva,2013,20,F,Helseregion Vest,51.930,523979.688
Antidepressiva,2013,20,M,Hele landet,26.212,1190775.250
Antidepressiva,2013,20,M,Helseregion Midt-Norge,24.862,172487.484
Antidepressiva,2013,20,M,Helseregion Nord-Norge,25.337,107359.297
Antidepressiva,2013,20,M,Helseregion Sør-Øst,25.430,603726.938
Antidepressiva,2013,20,M,Helseregion Vest,29.409,307201.500
Antidepressiva,2013,25,F,Hele landet,59.135,2805462.750
Antidepressiva,2013,25,F,Helseregion Midt-Norge,60.686,377157.438
Antidepressiva,2013,25,F,Helseregion Nord-Norge,63.180,245441.781
Antidepressiva,2013,25,F,Helseregion Sør-Øst,58.676,1554679.500
Antidepressiva,2013,25,F,Helseregion Vest,57.817,628184.062
Antidepressiva,2013,25,M,Hele landet,34.964,1722915.625
Antidepressiva,2013,25,M,Helseregion Midt-Norge,32.402,220118.422
Antidepressiva,2013,25,M,Helseregion Nord-Norge,37.163,168379.281
Antidepressiva,2013,25,M,Helseregion Sør-Øst,35.727,960051.500
Antidepressiva,2013,25,M,Helseregion Vest,33.837,374366.469
Antidepressiva,2013,30,F,Hele landet,66.203,3216506.500
Antidepressiva,2013,30,F,Helseregion Midt-Norge,65.179,395551.969
Antidepressiva,2013,30,F,Helseregion Nord-Norge,66.831,248420.281
Antidepressiva,2013,30,F,Helseregion Sør-Øst,66.563,1856644
Antidepressiva,2013,30,F,Helseregion Vest,65.616,715890.375
Antidepressiva,2013,30,M,Hele landet,41.738,2225253
Antidepressiva,2013,30,M,Helseregion Midt-Norge,36.483,254248.375
Antidepressiva,2013,30,M,Helseregion Nord-Norge,42.017,185945.828
Antidepressiva,2013,30,M,Helseregion Sør-Øst,42.383,1243832.375
Antidepressiva,2013,30,M,Helseregion Vest,43.104,541226.438
Antidepressiva,2013,35,F,Hele landet,80.630,4044578.750
Antidepressiva,2013,35,F,Helseregion Midt-Norge,74.249,458291.938
Antidepressiva,2013,35,F,Helseregion Nord-Norge,78.607,312658.750
Antidepressiva,2013,35,F,Helseregion Sør-Øst,83.235,2422052.250
Antidepressiva,2013,35,F,Helseregion Vest,77.976,851575.812
Antidepressiva,2013,35,M,Hele landet,47.653,2664283.250
Antidepressiva,2013,35,M,Helseregion Midt-Norge,37.062,267258.469
Antidepressiva,2013,35,M,Helseregion Nord-Norge,49.309,221932.094
Antidepressiva,2013,35,M,Helseregion Sør-Øst,48.866,1553554.375
Antidepressiva,2013,35,M,Helseregion Vest,50.058,621538.188
Antidepressiva,2013,40,F,Hele landet,96.174,5538273
Antidepressiva,2013,40,F,Helseregion Midt-Norge,91.204,648883
Antidepressiva,2013,40,F,Helseregion Nord-Norge,85.483,432215.812
Antidepressiva,2013,40,F,Helseregion Sør-Øst,99.782,3312050.500
Antidepressiva,2013,40,F,Helseregion Vest,93.952,1145123.750
Antidepressiva,2013,40,M,Hele landet,52.510,3395609.250
Antidepressiva,2013,40,M,Helseregion Midt-Norge,46.184,402482.312
Antidepressiva,2013,40,M,Helseregion Nord-Norge,49.644,278194.219
Antidepressiva,2013,40,M,Helseregion Sør-Øst,54.057,1966956.875
Antidepressiva,2013,40,M,Helseregion Vest,53.541,747976
Antidepressiva,2013,45,F,Hele landet,108.962,6258822
Antidepressiva,2013,45,F,Helseregion Midt-Norge,101.386,764694.938
Antidepressiva,2013,45,F,Helseregion Nord-Norge,91.997,464641.125
Antidepressiva,2013,45,F,Helseregion Sør-Øst,114.319,3766222.750
Antidepressiva,2013,45,F,Helseregion Vest,106.800,1263263.375
Antidepressiva,2013,45,M,Hele landet,57.708,3697347
Antidepressiva,2013,45,M,Helseregion Midt-Norge,47.928,414001.500
Antidepressiva,2013,45,M,Helseregion Nord-Norge,51.619,305323.562
Antidepressiva,2013,45,M,Helseregion Sør-Øst,61.207,2211578.500
Antidepressiva,2013,45,M,Helseregion Vest,57.257,766443.312
Antidepressiva,2013,50,F,Hele landet,117.504,6230060
Antidepressiva,2013,50,F,Helseregion Midt-Norge,111.336,746031.375
Antidepressiva,2013,50,F,Helseregion Nord-Norge,105.368,504249.031
Antidepressiva,2013,50,F,Helseregion Sør-Øst,122.989,3739619.750
Antidepressiva,2013,50,F,Helseregion Vest,111.887,1240159.750
Antidepressiva,2013,50,M,Hele landet,61.466,3546023.500
Antidepressiva,2013,50,M,Helseregion Midt-Norge,52.062,417353.281
Antidepressiva,2013,50,M,Helseregion Nord-Norge,51.756,268908.625
Antidepressiva,2013,50,M,Helseregion Sør-Øst,65.931,2123788.250
Antidepressiva,2013,50,M,Helseregion Vest,59.962,735973.500
Antidepressiva,2013,55,F,Hele landet,125.290,6498669
Antidepressiva,2013,55,F,Helseregion Midt-Norge,119.525,827165.312
Antidepressiva,2013,55,F,Helseregion Nord-Norge,105.239,500421.562
Antidepressiva,2013,55,F,Helseregion Sør-Øst,129.492,3827190.250
Antidepressiva,2013,55,F,Helseregion Vest,127.389,1343892.250
Antidepressiva,2013,55,M,Hele landet,66.086,3616594.250
Antidepressiva,2013,55,M,Helseregion Midt-Norge,59.300,450552.344
Antidepressiva,2013,55,M,Helseregion Nord-Norge,52.234,266093.906
Antidepressiva,2013,55,M,Helseregion Sør-Øst,70.826,2174590.250
Antidepressiva,2013,55,M,Helseregion Vest,64.650,725357.812
Antidepressiva,2013,60,F,Hele landet,129.543,6214979.500
Antidepressiva,2013,60,F,Helseregion Midt-Norge,125.630,844521.750
Antidepressiva,2013,60,F,Helseregion Nord-Norge,105.764,477152.406
Antidepressiva,2013,60,F,Helseregion Sør-Øst,134.003,3636271.250
Antidepressiva,2013,60,F,Helseregion Vest,131.864,1257034.250
Antidepressiva,2013,60,M,Hele landet,68.534,3470301.250
Antidepressiva,2013,60,M,Helseregion Midt-Norge,63.095,460436.625
Antidepressiva,2013,60,M,Helseregion Nord-Norge,52.354,266703.656
Antidepressiva,2013,60,M,Helseregion Sør-Øst,72.222,2015770
Antidepressiva,2013,60,M,Helseregion Vest,70.963,727390.938
Antidepressiva,2013,65,F,Hele landet,130.454,5905776.500
Antidepressiva,2013,65,F,Helseregion Midt-Norge,129.127,786788.375
Antidepressiva,2013,65,F,Helseregion Nord-Norge,102.389,460006.688
Antidepressiva,2013,65,F,Helseregion Sør-Øst,133.578,3498498.500
Antidepressiva,2013,65,F,Helseregion Vest,136.713,1160482.875
Antidepressiva,2013,65,M,Hele landet,64.248,3009562.250
Antidepressiva,2013,65,M,Helseregion Midt-Norge,61.038,396828.594
Antidepressiva,2013,65,M,Helseregion Nord-Norge,47.419,222380.172
Antidepressiva,2013,65,M,Helseregion Sør-Øst,66.914,1746892.375
Antidepressiva,2013,65,M,Helseregion Vest,67.956,643461.062
Antidepressiva,2013,70,F,Hele landet,132.900,3939153.750
Antidepressiva,2013,70,F,Helseregion Midt-Norge,132.366,556791.562
Antidepressiva,2013,70,F,Helseregion Nord-Norge,108.624,320666.781
Antidepressiva,2013,70,F,Helseregion Sør-Øst,135.061,2228602.500
Antidepressiva,2013,70,F,Helseregion Vest,139.744,833093
Antidepressiva,2013,70,M,Hele landet,66.659,1834824.500
Antidepressiva,2013,70,M,Helseregion Midt-Norge,67.671,277867.812
Antidepressiva,2013,70,M,Helseregion Nord-Norge,46.023,141946.828
Antidepressiva,2013,70,M,Helseregion Sør-Øst,66.995,1009367.812
Antidepressiva,2013,70,M,Helseregion Vest,76.729,405642
Antidepressiva,2013,75,F,Hele landet,151.432,3284928.750
Antidepressiva,2013,75,F,Helseregion Midt-Norge,150.281,449554.375
Antidepressiva,2013,75,F,Helseregion Nord-Norge,123.571,274750.125
Antidepressiva,2013,75,F,Helseregion Sør-Øst,152.674,1853760.125
Antidepressiva,2013,75,F,Helseregion Vest,163.457,706864.250
Antidepressiva,2013,75,M,Hele landet,77.541,1344916
Antidepressiva,2013,75,M,Helseregion Midt-Norge,73.875,180547.562
Antidepressiva,2013,75,M,Helseregion Nord-Norge,61.987,117852.828
Antidepressiva,2013,75,M,Helseregion Sør-Øst,79.043,750679.812
Antidepressiva,2013,75,M,Helseregion Vest,84.823,295835.812
Antidepressiva,2013,80,F,Hele landet,162.636,2942780.250
Antidepressiva,2013,80,F,Helseregion Midt-Norge,168.967,439482.156
Antidepressiva,2013,80,F,Helseregion Nord-Norge,137.405,255008.422
Antidepressiva,2013,80,F,Helseregion Sør-Øst,160.197,1599886.750
Antidepressiva,2013,80,F,Helseregion Vest,177.797,648402.938
Antidepressiva,2013,80,M,Hele landet,88.710,1084717
Antidepressiva,2013,80,M,Helseregion Midt-Norge,85.330,164666.531
Antidepressiva,2013,80,M,Helseregion Nord-Norge,69.707,94040.102
Antidepressiva,2013,80,M,Helseregion Sør-Øst,89.982,573109.125
Antidepressiva,2013,80,M,Helseregion Vest,97.553,252901.250
Antidepressiva,2013,85,F,Hele landet,160.186,2053536.625
Antidepressiva,2013,85,F,Helseregion Midt-Norge,162.951,310438.625
Antidepressiva,2013,85,F,Helseregion Nord-Norge,141.925,189280.781
Antidepressiva,2013,85,F,Helseregion Sør-Øst,156.490,1088078.875
Antidepressiva,2013,85,F,Helseregion Vest,177.689,465738.344
Antidepressiva,2013,85,M,Hele landet,100.285,679489.500
Antidepressiva,2013,85,M,Helseregion Midt-Norge,101.371,102124.891
Antidepressiva,2013,85,M,Helseregion Nord-Norge,82.824,55867.805
Antidepressiva,2013,85,M,Helseregion Sør-Øst,96.131,365818.469
Antidepressiva,2013,85,M,Helseregion Vest,119.962,155678.328
Antidepressiva,2013,90,F,Hele landet,134.388,1125187.625
Antidepressiva,2013,90,F,Helseregion Midt-Norge,133.583,165425.484
Antidepressiva,2013,90,F,Helseregion Nord-Norge,120.388,90561.164
Antidepressiva,2013,90,F,Helseregion Sør-Øst,129.681,584964.500
Antidepressiva,2013,90,F,Helseregion Vest,153.445,284236.469
Antidepressiva,2013,90,M,Hele landet,90.044,260899.875
Antidepressiva,2013,90,M,Helseregion Midt-Norge,99.581,46804
Antidepressiva,2013,90,M,Helseregion Nord-Norge,70.320,18293.369
Antidepressiva,2013,90,M,Helseregion Sør-Øst,84.784,130372.352
Antidepressiva,2013,90,M,Helseregion Vest,105.185,65430.148
Antidepressiva,2014,Alle,F,Hele landet,81.466,64760468
Antidepressiva,2014,Alle,F,Helseregion Midt-Norge,79.168,8438449
Antidepressiva,2014,Alle,F,Helseregion Nord-Norge,74.027,5233879.500
Antidepressiva,2014,Alle,F,Helseregion Sør-Øst,84.040,37523004
Antidepressiva,2014,Alle,F,Helseregion Vest,79.320,13565133
Antidepressiva,2014,Alle,M,Hele landet,42.144,35066560
Antidepressiva,2014,Alle,M,Helseregion Midt-Norge,38.470,4408578.500
Antidepressiva,2014,Alle,M,Helseregion Nord-Norge,37.184,2786325.500
Antidepressiva,2014,Alle,M,Helseregion Sør-Øst,43.799,20233962
Antidepressiva,2014,Alle,M,Helseregion Vest,42.414,7637694
Antidepressiva,2014,0,F,Hele landet,0,0
Antidepressiva,2014,0,F,Helseregion Midt-Norge,0,0
Antidepressiva,2014,0,F,Helseregion Nord-Norge,0,0
Antidepressiva,2014,0,F,Helseregion Sør-Øst,0,0
Antidepressiva,2014,0,F,Helseregion Vest,0,0
Antidepressiva,2014,0,M,Hele landet,,
Antidepressiva,2014,0,M,Helseregion Midt-Norge,0,0
Antidepressiva,2014,0,M,Helseregion Nord-Norge,0,0
Antidepressiva,2014,0,M,Helseregion Sør-Øst,,
Antidepressiva,2014,0,M,Helseregion Vest,0,0
Antidepressiva,2014,5,F,Hele landet,0.098,1300
Antidepressiva,2014,5,F,Helseregion Midt-Norge,,
Antidepressiva,2014,5,F,Helseregion Nord-Norge,,
Antidepressiva,2014,5,F,Helseregion Sør-Øst,0.094,554.333
Antidepressiva,2014,5,F,Helseregion Vest,,
Antidepressiva,2014,5,M,Hele landet,0.210,6845.728
Antidepressiva,2014,5,M,Helseregion Midt-Norge,,
Antidepressiva,2014,5,M,Helseregion Nord-Norge,0.349,859
Antidepressiva,2014,5,M,Helseregion Sør-Øst,0.168,1805.333
Antidepressiva,2014,5,M,Helseregion Vest,0.306,3447.395
Antidepressiva,2014,10,F,Hele landet,1.805,70148.734
Antidepressiva,2014,10,F,Helseregion Midt-Norge,1.440,6421
Antidepressiva,2014,10,F,Helseregion Nord-Norge,1.377,5289.957
Antidepressiva,2014,10,F,Helseregion Sør-Øst,1.827,39424.258
Antidepressiva,2014,10,F,Helseregion Vest,2.156,19013.520
Antidepressiva,2014,10,M,Hele landet,1.935,95067.250
Antidepressiva,2014,10,M,Helseregion Midt-Norge,1.545,10053.667
Antidepressiva,2014,10,M,Helseregion Nord-Norge,1.453,5285
Antidepressiva,2014,10,M,Helseregion Sør-Øst,1.856,49107.332
Antidepressiva,2014,10,M,Helseregion Vest,2.585,30621.252
Antidepressiva,2014,15,F,Hele landet,27.393,1144246.750
Antidepressiva,2014,15,F,Helseregion Midt-Norge,27.261,162855.766
Antidepressiva,2014,15,F,Helseregion Nord-Norge,29.715,112625.844
Antidepressiva,2014,15,F,Helseregion Sør-Øst,26.020,594919.812
Antidepressiva,2014,15,F,Helseregion Vest,29.801,273845.375
Antidepressiva,2014,15,M,Hele landet,10.941,510519.719
Antidepressiva,2014,15,M,Helseregion Midt-Norge,10.547,63909.539
Antidepressiva,2014,15,M,Helseregion Nord-Norge,8.032,29415.465
Antidepressiva,2014,15,M,Helseregion Sør-Øst,10.687,270157.188
Antidepressiva,2014,15,M,Helseregion Vest,13.154,147037.531
Antidepressiva,2014,20,F,Hele landet,50.246,2298039.750
Antidepressiva,2014,20,F,Helseregion Midt-Norge,46.422,316558.375
Antidepressiva,2014,20,F,Helseregion Nord-Norge,56.938,237893.266
Antidepressiva,2014,20,F,Helseregion Sør-Øst,49.620,1217936.125
Antidepressiva,2014,20,F,Helseregion Vest,51.397,525652.062
Antidepressiva,2014,20,M,Hele landet,26.913,1248155.750
Antidepressiva,2014,20,M,Helseregion Midt-Norge,25.695,166891.562
Antidepressiva,2014,20,M,Helseregion Nord-Norge,25.967,119392.711
Antidepressiva,2014,20,M,Helseregion Sør-Øst,26.616,639255.375
Antidepressiva,2014,20,M,Helseregion Vest,28.873,322616.031
Antidepressiva,2014,25,F,Hele landet,58.533,2925006.500
Antidepressiva,2014,25,F,Helseregion Midt-Norge,56.262,374102.031
Antidepressiva,2014,25,F,Helseregion Nord-Norge,60.919,255476.656
Antidepressiva,2014,25,F,Helseregion Sør-Øst,58.908,1623323.125
Antidepressiva,2014,25,F,Helseregion Vest,58.010,672104.625
Antidepressiva,2014,25,M,Hele landet,34.637,1773997.625
Antidepressiva,2014,25,M,Helseregion Midt-Norge,32.046,235303.500
Antidepressiva,2014,25,M,Helseregion Nord-Norge,36.038,159968.094
Antidepressiva,2014,25,M,Helseregion Sør-Øst,34.452,968636.938
Antidepressiva,2014,25,M,Helseregion Vest,36.170,410089.031
Antidepressiva,2014,30,F,Hele landet,65.960,3246258.500
Antidepressiva,2014,30,F,Helseregion Midt-Norge,64.667,427977.469
Antidepressiva,2014,30,F,Helseregion Nord-Norge,65.487,244004.469
Antidepressiva,2014,30,F,Helseregion Sør-Øst,67.022,1884624.875
Antidepressiva,2014,30,F,Helseregion Vest,64.073,689651.688
Antidepressiva,2014,30,M,Hele landet,40.740,2283821.500
Antidepressiva,2014,30,M,Helseregion Midt-Norge,37.441,285426.031
Antidepressiva,2014,30,M,Helseregion Nord-Norge,41.638,198160.766
Antidepressiva,2014,30,M,Helseregion Sør-Øst,40.988,1262691.375
Antidepressiva,2014,30,M,Helseregion Vest,41.715,537543.312
Antidepressiva,2014,35,F,Hele landet,80.854,4059017
Antidepressiva,2014,35,F,Helseregion Midt-Norge,73.098,444693.750
Antidepressiva,2014,35,F,Helseregion Nord-Norge,79.133,322472.406
Antidepressiva,2014,35,F,Helseregion Sør-Øst,83.489,2443350
Antidepressiva,2014,35,F,Helseregion Vest,78.833,848500.812
Antidepressiva,2014,35,M,Hele landet,47.008,2689483.750
Antidepressiva,2014,35,M,Helseregion Midt-Norge,38.949,278402.969
Antidepressiva,2014,35,M,Helseregion Nord-Norge,46.868,205260.312
Antidepressiva,2014,35,M,Helseregion Sør-Øst,48.388,1601383.500
Antidepressiva,2014,35,M,Helseregion Vest,48.150,604436.938
Antidepressiva,2014,40,F,Hele landet,96.491,5452481.500
Antidepressiva,2014,40,F,Helseregion Midt-Norge,87.865,628771.562
Antidepressiva,2014,40,F,Helseregion Nord-Norge,87.076,425789.250
Antidepressiva,2014,40,F,Helseregion Sør-Øst,100.603,3255026.500
Antidepressiva,2014,40,F,Helseregion Vest,94.441,1142894.375
Antidepressiva,2014,40,M,Hele landet,52.075,3368844.750
Antidepressiva,2014,40,M,Helseregion Midt-Norge,46.171,383744.375
Antidepressiva,2014,40,M,Helseregion Nord-Norge,47.935,262528.906
Antidepressiva,2014,40,M,Helseregion Sør-Øst,53.617,1961609.125
Antidepressiva,2014,40,M,Helseregion Vest,53.337,760962.438
Antidepressiva,2014,45,F,Hele landet,109.207,6384137.500
Antidepressiva,2014,45,F,Helseregion Midt-Norge,102.681,790120.375
Antidepressiva,2014,45,F,Helseregion Nord-Norge,93.332,489153.812
Antidepressiva,2014,45,F,Helseregion Sør-Øst,114.341,3790344
Antidepressiva,2014,45,F,Helseregion Vest,106.408,1314519.500
Antidepressiva,2014,45,M,Hele landet,57.446,3792481
Antidepressiva,2014,45,M,Helseregion Midt-Norge,48.301,431415.562
Antidepressiva,2014,45,M,Helseregion Nord-Norge,51.320,302582.625
Antidepressiva,2014,45,M,Helseregion Sør-Øst,61.038,2282324.250
Antidepressiva,2014,45,M,Helseregion Vest,56.347,776158.625
Antidepressiva,2014,50,F,Hele landet,118.472,6386289.500
Antidepressiva,2014,50,F,Helseregion Midt-Norge,110.231,761254.562
Antidepressiva,2014,50,F,Helseregion Nord-Norge,103.721,504581.500
Antidepressiva,2014,50,F,Helseregion Sør-Øst,124.666,3843190.250
Antidepressiva,2014,50,F,Helseregion Vest,113.348,1277263.125
Antidepressiva,2014,50,M,Hele landet,60.357,3576597.750
Antidepressiva,2014,50,M,Helseregion Midt-Norge,51.741,427376.531
Antidepressiva,2014,50,M,Helseregion Nord-Norge,51.163,271650.531
Antidepressiva,2014,50,M,Helseregion Sør-Øst,64.275,2127620.750
Antidepressiva,2014,50,M,Helseregion Vest,59.462,749950.188
Antidepressiva,2014,55,F,Hele landet,125.277,6625816.500
Antidepressiva,2014,55,F,Helseregion Midt-Norge,119.772,844254.125
Antidepressiva,2014,55,F,Helseregion Nord-Norge,106.401,512936.656
Antidepressiva,2014,55,F,Helseregion Sør-Øst,130.208,3927384.750
Antidepressiva,2014,55,F,Helseregion Vest,124.425,1341240.750
Antidepressiva,2014,55,M,Hele landet,65.798,3649937.500
Antidepressiva,2014,55,M,Helseregion Midt-Norge,56.531,444661
Antidepressiva,2014,55,M,Helseregion Nord-Norge,52.558,274055.406
Antidepressiva,2014,55,M,Helseregion Sør-Øst,70.959,2208465.250
Antidepressiva,2014,55,M,Helseregion Vest,64.478,722755.938
Antidepressiva,2014,60,F,Hele landet,129.977,6321996
Antidepressiva,2014,60,F,Helseregion Midt-Norge,126.645,873875.500
Antidepressiva,2014,60,F,Helseregion Nord-Norge,107.966,481393.656
Antidepressiva,2014,60,F,Helseregion Sør-Øst,135.014,3670047
Antidepressiva,2014,60,F,Helseregion Vest,129.211,1296679.750
Antidepressiva,2014,60,M,Hele landet,68.559,3515227.750
Antidepressiva,2014,60,M,Helseregion Midt-Norge,64.083,467943.125
Antidepressiva,2014,60,M,Helseregion Nord-Norge,54.140,264743.969
Antidepressiva,2014,60,M,Helseregion Sør-Øst,71.704,2033612.625
Antidepressiva,2014,60,M,Helseregion Vest,70.817,748928.062
Antidepressiva,2014,65,F,Hele landet,130.350,6118374.500
Antidepressiva,2014,65,F,Helseregion Midt-Norge,127.190,813885.125
Antidepressiva,2014,65,F,Helseregion Nord-Norge,106.550,492086.750
Antidepressiva,2014,65,F,Helseregion Sør-Øst,133.813,3620824.500
Antidepressiva,2014,65,F,Helseregion Vest,134.745,1191578.250
Antidepressiva,2014,65,M,Hele landet,66.178,3152908.250
Antidepressiva,2014,65,M,Helseregion Midt-Norge,61.892,420953.938
Antidepressiva,2014,65,M,Helseregion Nord-Norge,51.203,243391.656
Antidepressiva,2014,65,M,Helseregion Sør-Øst,69.552,1854822.875
Antidepressiva,2014,65,M,Helseregion Vest,67.710,633739.938
Antidepressiva,2014,70,F,Hele landet,132.103,4199305
Antidepressiva,2014,70,F,Helseregion Midt-Norge,134.565,603408.500
Antidepressiva,2014,70,F,Helseregion Nord-Norge,106.172,326966.094
Antidepressiva,2014,70,F,Helseregion Sør-Øst,134.711,2413677.500
Antidepressiva,2014,70,F,Helseregion Vest,136.230,855252.750
Antidepressiva,2014,70,M,Hele landet,65.484,1997682.625
Antidepressiva,2014,70,M,Helseregion Midt-Norge,65.943,297716.562
Antidepressiva,2014,70,M,Helseregion Nord-Norge,48.283,157905.156
Antidepressiva,2014,70,M,Helseregion Sør-Øst,66.579,1118492.500
Antidepressiva,2014,70,M,Helseregion Vest,71.651,423568.500
Antidepressiva,2014,75,F,Hele landet,151.741,3401596.500
Antidepressiva,2014,75,F,Helseregion Midt-Norge,151.862,468216.875
Antidepressiva,2014,75,F,Helseregion Nord-Norge,121.803,281862.469
Antidepressiva,2014,75,F,Helseregion Sør-Øst,153.396,1916217.250
Antidepressiva,2014,75,F,Helseregion Vest,162.753,735300.062
Antidepressiva,2014,75,M,Hele landet,75.751,1386310.625
Antidepressiva,2014,75,M,Helseregion Midt-Norge,71.930,195283.328
Antidepressiva,2014,75,M,Helseregion Nord-Norge,57.600,116371.836
Antidepressiva,2014,75,M,Helseregion Sør-Øst,77.057,772382.562
Antidepressiva,2014,75,M,Helseregion Vest,85.125,302272.938
Antidepressiva,2014,80,F,Hele landet,163.994,2932209.250
Antidepressiva,2014,80,F,Helseregion Midt-Norge,169.935,431713.500
Antidepressiva,2014,80,F,Helseregion Nord-Norge,141.310,262820.344
Antidepressiva,2014,80,F,Helseregion Sør-Øst,161.333,1590897
Antidepressiva,2014,80,F,Helseregion Vest,178.635,646778.562
Antidepressiva,2014,80,M,Hele landet,88.703,1077855.500
Antidepressiva,2014,80,M,Helseregion Midt-Norge,84.344,154926.469
Antidepressiva,2014,80,M,Helseregion Nord-Norge,74.904,94727.742
Antidepressiva,2014,80,M,Helseregion Sør-Øst,89.283,582293.625
Antidepressiva,2014,80,M,Helseregion Vest,97.613,245907.719
Antidepressiva,2014,85,F,Hele landet,162.350,2072297.625
Antidepressiva,2014,85,F,Helseregion Midt-Norge,167.539,326998.812
Antidepressiva,2014,85,F,Helseregion Nord-Norge,148.837,189937.344
Antidepressiva,2014,85,F,Helseregion Sør-Øst,157.341,1092801.250
Antidepressiva,2014,85,F,Helseregion Vest,179.119,462560.250
Antidepressiva,2014,85,M,Hele landet,98.117,671646.500
Antidepressiva,2014,85,M,Helseregion Midt-Norge,94.068,95908.430
Antidepressiva,2014,85,M,Helseregion Nord-Norge,88.512,61751.688
Antidepressiva,2014,85,M,Helseregion Sør-Øst,97,360175.469
Antidepressiva,2014,85,M,Helseregion Vest,109.138,153810.891
Antidepressiva,2014,90,F,Hele landet,132.348,1121945.125
Antidepressiva,2014,90,F,Helseregion Midt-Norge,136.169,163301.469
Antidepressiva,2014,90,F,Helseregion Nord-Norge,110.738,88148.164
Antidepressiva,2014,90,F,Helseregion Sør-Øst,128.831,598462.438
Antidepressiva,2014,90,F,Helseregion Vest,148.555,272033
Antidepressiva,2014,90,M,Hele landet,89.661,269175.719
Antidepressiva,2014,90,M,Helseregion Midt-Norge,101.669,47927.762
Antidepressiva,2014,90,M,Helseregion Nord-Norge,73.883,18274.738
Antidepressiva,2014,90,M,Helseregion Sør-Øst,82.273,139125.703
Antidepressiva,2014,90,M,Helseregion Vest,107.385,63847.512
Antidepressiva,2015,Alle,F,Hele landet,82.122,65716376
Antidepressiva,2015,Alle,F,Helseregion Midt-Norge,80.768,8666853
Antidepressiva,2015,Alle,F,Helseregion Nord-Norge,75.805,5314466
Antidepressiva,2015,Alle,F,Helseregion Sør-Øst,84.274,37992648
Antidepressiva,2015,Alle,F,Helseregion Vest,79.971,13742410
Antidepressiva,2015,Alle,M,Hele landet,42.458,35615420
Antidepressiva,2015,Alle,M,Helseregion Midt-Norge,39.423,4555832
Antidepressiva,2015,Alle,M,Helseregion Nord-Norge,37.495,2841730.250
Antidepressiva,2015,Alle,M,Helseregion Sør-Øst,43.910,20483054
Antidepressiva,2015,Alle,M,Helseregion Vest,42.820,7734803.500
Antidepressiva,2015,0,F,Hele landet,,
Antidepressiva,2015,0,F,Helseregion Midt-Norge,0,0
Antidepressiva,2015,0,F,Helseregion Nord-Norge,0,0
Antidepressiva,2015,0,F,Helseregion Sør-Øst,0,0
Antidepressiva,2015,0,F,Helseregion Vest,,
Antidepressiva,2015,0,M,Hele landet,,
Antidepressiva,2015,0,M,Helseregion Midt-Norge,0,0
Antidepressiva,2015,0,M,Helseregion Nord-Norge,0,0
Antidepressiva,2015,0,M,Helseregion Sør-Øst,,
Antidepressiva,2015,0,M,Helseregion Vest,0,0
Antidepressiva,2015,5,F,Hele landet,0.083,2707.333
Antidepressiva,2015,5,F,Helseregion Midt-Norge,,
Antidepressiva,2015,5,F,Helseregion Nord-Norge,,
Antidepressiva,2015,5,F,Helseregion Sør-Øst,0.093,1337.667
Antidepressiva,2015,5,F,Helseregion Vest,,
Antidepressiva,2015,5,M,Hele landet,0.262,7716.671
Antidepressiva,2015,5,M,Helseregion Midt-Norge,0.271,488.333
Antidepressiva,2015,5,M,Helseregion Nord-Norge,,
Antidepressiva,2015,5,M,Helseregion Sør-Øst,0.242,3591.667
Antidepressiva,2015,5,M,Helseregion Vest,0.325,2836.667
Antidepressiva,2015,10,F,Hele landet,1.927,69196.492
Antidepressiva,2015,10,F,Helseregion Midt-Norge,2.063,10660.028
Antidepressiva,2015,10,F,Helseregion Nord-Norge,2.001,7364.050
Antidepressiva,2015,10,F,Helseregion Sør-Øst,1.650,35930.426
Antidepressiva,2015,10,F,Helseregion Vest,2.497,15241.988
Antidepressiva,2015,10,M,Hele landet,1.984,92930.664
